Entity,Code,Day,Global sea level according to Church and White (2011),Global sea level according to UHSLC,Global sea level as an average of Church and White (2011) and UHSLC data
World,OWID_WRL,1907-01-15,-151.1474,,-151.1474
World,OWID_WRL,1907-04-15,-147.28073,,-147.28073
World,OWID_WRL,1907-07-15,-147.38072,,-147.38072
World,OWID_WRL,1907-10-15,-157.0474,,-157.0474
World,OWID_WRL,1908-01-15,-154.48073,,-154.48073
World,OWID_WRL,1908-04-15,-153.9474,,-153.9474
World,OWID_WRL,1908-07-15,-149.61406,,-149.61406
World,OWID_WRL,1908-10-15,-156.48073,,-156.48073
World,OWID_WRL,1909-01-15,-152.31406,,-152.31406
World,OWID_WRL,1909-04-15,-146.31406,,-146.31406
World,OWID_WRL,1909-07-15,-152.78073,,-152.78073
World,OWID_WRL,1909-10-15,-148.6474,,-148.6474
World,OWID_WRL,1910-01-15,-150.8474,,-150.8474
World,OWID_WRL,1910-04-15,-150.9474,,-150.9474
World,OWID_WRL,1910-07-15,-146.31406,,-146.31406
World,OWID_WRL,1910-10-15,-148.71407,,-148.71407
World,OWID_WRL,1911-01-15,-149.1474,,-149.1474
World,OWID_WRL,1911-04-15,-144.08073,,-144.08073
World,OWID_WRL,1911-07-15,-141.38072,,-141.38072
World,OWID_WRL,1911-10-15,-133.58073,,-133.58073
World,OWID_WRL,1912-01-15,-142.9474,,-142.9474
World,OWID_WRL,1912-04-15,-149.68073,,-149.68073
World,OWID_WRL,1912-07-15,-142.6474,,-142.6474
World,OWID_WRL,1912-10-15,-141.08073,,-141.08073
World,OWID_WRL,1913-01-15,-142.0474,,-142.0474
World,OWID_WRL,1913-04-15,-150.21407,,-150.21407
World,OWID_WRL,1913-07-15,-140.31406,,-140.31406
World,OWID_WRL,1913-10-15,-136.11406,,-136.11406
World,OWID_WRL,1914-01-15,-137.5474,,-137.5474
World,OWID_WRL,1914-04-15,-139.6474,,-139.6474
World,OWID_WRL,1914-07-15,-143.61406,,-143.61406
World,OWID_WRL,1914-10-15,-132.18073,,-132.18073
World,OWID_WRL,1915-01-15,-108.7474,,-108.7474
World,OWID_WRL,1915-04-15,-124.214066,,-124.214066
World,OWID_WRL,1915-07-15,-135.9474,,-135.9474
World,OWID_WRL,1915-10-15,-136.3474,,-136.3474
World,OWID_WRL,1916-01-15,-129.58073,,-129.58073
World,OWID_WRL,1916-04-15,-125.58073,,-125.58073
World,OWID_WRL,1916-07-15,-134.78073,,-134.78073
World,OWID_WRL,1916-10-15,-132.61406,,-132.61406
World,OWID_WRL,1917-01-15,-127.78073,,-127.78073
World,OWID_WRL,1917-04-15,-137.38072,,-137.38072
World,OWID_WRL,1917-07-15,-134.48073,,-134.48073
World,OWID_WRL,1917-10-15,-135.68073,,-135.68073
World,OWID_WRL,1918-01-15,-134.41406,,-134.41406
World,OWID_WRL,1918-04-15,-138.5474,,-138.5474
World,OWID_WRL,1918-07-15,-135.71407,,-135.71407
World,OWID_WRL,1918-10-15,-134.1474,,-134.1474
World,OWID_WRL,1919-01-15,-141.0474,,-141.0474
World,OWID_WRL,1919-04-15,-138.38072,,-138.38072
World,OWID_WRL,1919-07-15,-128.48073,,-128.48073
World,OWID_WRL,1919-10-15,-130.78073,,-130.78073
World,OWID_WRL,1920-01-15,-138.31406,,-138.31406
World,OWID_WRL,1920-04-15,-134.81406,,-134.81406
World,OWID_WRL,1920-07-15,-127.18073,,-127.18073
World,OWID_WRL,1920-10-15,-133.78073,,-133.78073
World,OWID_WRL,1921-01-15,-131.91406,,-131.91406
World,OWID_WRL,1921-04-15,-126.814064,,-126.814064
World,OWID_WRL,1921-07-15,-129.5474,,-129.5474
World,OWID_WRL,1921-10-15,-136.5474,,-136.5474
World,OWID_WRL,1922-01-15,-131.9474,,-131.9474
World,OWID_WRL,1922-04-15,-129.88072,,-129.88072
World,OWID_WRL,1922-07-15,-133.6474,,-133.6474
World,OWID_WRL,1922-10-15,-134.74739,,-134.74739
World,OWID_WRL,1923-01-15,-128.58073,,-128.58073
World,OWID_WRL,1923-04-15,-126.51406,,-126.51406
World,OWID_WRL,1923-07-15,-129.5474,,-129.5474
World,OWID_WRL,1923-10-15,-134.28073,,-134.28073
World,OWID_WRL,1924-01-15,-138.71407,,-138.71407
World,OWID_WRL,1924-04-15,-136.38072,,-136.38072
World,OWID_WRL,1924-07-15,-138.98073,,-138.98073
World,OWID_WRL,1924-10-15,-139.01407,,-139.01407
World,OWID_WRL,1925-01-15,-135.61406,,-135.61406
World,OWID_WRL,1925-04-15,-137.11406,,-137.11406
World,OWID_WRL,1925-07-15,-138.4474,,-138.4474
World,OWID_WRL,1925-10-15,-135.8474,,-135.8474
World,OWID_WRL,1926-01-15,-133.21407,,-133.21407
World,OWID_WRL,1926-04-15,-135.58073,,-135.58073
World,OWID_WRL,1926-07-15,-126.28073,,-126.28073
World,OWID_WRL,1926-10-15,-122.68073,,-122.68073
World,OWID_WRL,1927-01-15,-133.5474,,-133.5474
World,OWID_WRL,1927-04-15,-128.71407,,-128.71407
World,OWID_WRL,1927-07-15,-127.7474,,-127.7474
World,OWID_WRL,1927-10-15,-131.98073,,-131.98073
World,OWID_WRL,1928-01-15,-138.51407,,-138.51407
World,OWID_WRL,1928-04-15,-134.58073,,-134.58073
World,OWID_WRL,1928-07-15,-128.88072,,-128.88072
World,OWID_WRL,1928-10-15,-133.88072,,-133.88072
World,OWID_WRL,1929-01-15,-141.3474,,-141.3474
World,OWID_WRL,1929-04-15,-133.11406,,-133.11406
World,OWID_WRL,1929-07-15,-129.08073,,-129.08073
World,OWID_WRL,1929-10-15,-131.4474,,-131.4474
World,OWID_WRL,1930-01-15,-134.6474,,-134.6474
World,OWID_WRL,1930-04-15,-136.01407,,-136.01407
World,OWID_WRL,1930-07-15,-122.91406,,-122.91406
World,OWID_WRL,1930-10-15,-124.78073,,-124.78073
World,OWID_WRL,1931-01-15,-130.8474,,-130.8474
World,OWID_WRL,1931-04-15,-130.08073,,-130.08073
World,OWID_WRL,1931-07-15,-126.7474,,-126.7474
World,OWID_WRL,1931-10-15,-131.21407,,-131.21407
World,OWID_WRL,1932-01-15,-126.714066,,-126.714066
World,OWID_WRL,1932-04-15,-124.41406,,-124.41406
World,OWID_WRL,1932-07-15,-125.14739,,-125.14739
World,OWID_WRL,1932-10-15,-122.64739,,-122.64739
World,OWID_WRL,1933-01-15,-117.54739,,-117.54739
World,OWID_WRL,1933-04-15,-116.314064,,-116.314064
World,OWID_WRL,1933-07-15,-119.98073,,-119.98073
World,OWID_WRL,1933-10-15,-122.88073,,-122.88073
World,OWID_WRL,1934-01-15,-123.8474,,-123.8474
World,OWID_WRL,1934-04-15,-120.64739,,-120.64739
World,OWID_WRL,1934-07-15,-127.3474,,-127.3474
World,OWID_WRL,1934-10-15,-128.5474,,-128.5474
World,OWID_WRL,1935-01-15,-119.3474,,-119.3474
World,OWID_WRL,1935-04-15,-116.11406,,-116.11406
World,OWID_WRL,1935-07-15,-118.14739,,-118.14739
World,OWID_WRL,1935-10-15,-123.7474,,-123.7474
World,OWID_WRL,1936-01-15,-120.51406,,-120.51406
World,OWID_WRL,1936-04-15,-124.947395,,-124.947395
World,OWID_WRL,1936-07-15,-124.814064,,-124.814064
World,OWID_WRL,1936-10-15,-124.08073,,-124.08073
World,OWID_WRL,1937-01-15,-119.714066,,-119.714066
World,OWID_WRL,1937-04-15,-117.54739,,-117.54739
World,OWID_WRL,1937-07-15,-119.88073,,-119.88073
World,OWID_WRL,1937-10-15,-115.8474,,-115.8474
World,OWID_WRL,1938-01-15,-110.91406,,-110.91406
World,OWID_WRL,1938-04-15,-112.11406,,-112.11406
World,OWID_WRL,1938-07-15,-121.54739,,-121.54739
World,OWID_WRL,1938-10-15,-115.14739,,-115.14739
World,OWID_WRL,1939-01-15,-114.58073,,-114.58073
World,OWID_WRL,1939-04-15,-111.54739,,-111.54739
World,OWID_WRL,1939-07-15,-101.48073,,-101.48073
World,OWID_WRL,1939-10-15,-112.01406,,-112.01406
World,OWID_WRL,1940-01-15,-111.91406,,-111.91406
World,OWID_WRL,1940-04-15,-117.48073,,-117.48073
World,OWID_WRL,1940-07-15,-121.68073,,-121.68073
World,OWID_WRL,1940-10-15,-111.18073,,-111.18073
World,OWID_WRL,1941-01-15,-106.01406,,-106.01406
World,OWID_WRL,1941-04-15,-103.41406,,-103.41406
World,OWID_WRL,1941-07-15,-100.7474,,-100.7474
World,OWID_WRL,1941-10-15,-101.48073,,-101.48073
World,OWID_WRL,1942-01-15,-107.2474,,-107.2474
World,OWID_WRL,1942-04-15,-108.3474,,-108.3474
World,OWID_WRL,1942-07-15,-101.447395,,-101.447395
World,OWID_WRL,1942-10-15,-97.04739,,-97.04739
World,OWID_WRL,1943-01-15,-97.88073,,-97.88073
World,OWID_WRL,1943-04-15,-98.51406,,-98.51406
World,OWID_WRL,1943-07-15,-104.01406,,-104.01406
World,OWID_WRL,1943-10-15,-107.98073,,-107.98073
World,OWID_WRL,1944-01-15,-105.2474,,-105.2474
World,OWID_WRL,1944-04-15,-102.814064,,-102.814064
World,OWID_WRL,1944-07-15,-116.947395,,-116.947395
World,OWID_WRL,1944-10-15,-112.88073,,-112.88073
World,OWID_WRL,1945-01-15,-107.64739,,-107.64739
World,OWID_WRL,1945-04-15,-107.01406,,-107.01406
World,OWID_WRL,1945-07-15,-104.447395,,-104.447395
World,OWID_WRL,1945-10-15,-108.447395,,-108.447395
World,OWID_WRL,1946-01-15,-103.54739,,-103.54739
World,OWID_WRL,1946-04-15,-98.68073,,-98.68073
World,OWID_WRL,1946-07-15,-92.68073,,-92.68073
World,OWID_WRL,1946-10-15,-101.01406,,-101.01406
World,OWID_WRL,1947-01-15,-104.28073,,-104.28073
World,OWID_WRL,1947-04-15,-101.7474,,-101.7474
World,OWID_WRL,1947-07-15,-97.447395,,-97.447395
World,OWID_WRL,1947-10-15,-86.8474,,-86.8474
World,OWID_WRL,1948-01-15,-87.3474,,-87.3474
World,OWID_WRL,1948-04-15,-92.98073,,-92.98073
World,OWID_WRL,1948-07-15,-91.814064,,-91.814064
World,OWID_WRL,1948-10-15,-90.8474,,-90.8474
World,OWID_WRL,1949-01-15,-87.314064,,-87.314064
World,OWID_WRL,1949-04-15,-92.54739,,-92.54739
World,OWID_WRL,1949-07-15,-95.41406,,-95.41406
World,OWID_WRL,1949-10-15,-93.68073,,-93.68073
World,OWID_WRL,1950-01-15,-92.28073,,-92.28073
World,OWID_WRL,1950-04-15,-92.2474,,-92.2474
World,OWID_WRL,1950-07-15,-91.447395,,-91.447395
World,OWID_WRL,1950-10-15,-87.61406,,-87.61406
World,OWID_WRL,1951-01-15,-82.01406,,-82.01406
World,OWID_WRL,1951-04-15,-74.01406,,-74.01406
World,OWID_WRL,1951-07-15,-82.314064,,-82.314064
World,OWID_WRL,1951-10-15,-83.947395,,-83.947395
World,OWID_WRL,1952-01-15,-85.08073,,-85.08073
World,OWID_WRL,1952-04-15,-86.98073,,-86.98073
World,OWID_WRL,1952-07-15,-84.48073,,-84.48073
World,OWID_WRL,1952-10-15,-79.61406,,-79.61406
World,OWID_WRL,1953-01-15,-76.8474,,-76.8474
World,OWID_WRL,1953-04-15,-78.28073,,-78.28073
World,OWID_WRL,1953-07-15,-75.3474,,-75.3474
World,OWID_WRL,1953-10-15,-82.214066,,-82.214066
World,OWID_WRL,1954-01-15,-82.18073,,-82.18073
World,OWID_WRL,1954-04-15,-81.2474,,-81.2474
World,OWID_WRL,1954-07-15,-86.714066,,-86.714066
World,OWID_WRL,1954-10-15,-80.814064,,-80.814064
World,OWID_WRL,1955-01-15,-72.38073,,-72.38073
World,OWID_WRL,1955-04-15,-79.61406,,-79.61406
World,OWID_WRL,1955-07-15,-87.447395,,-87.447395
World,OWID_WRL,1955-10-15,-81.7474,,-81.7474
World,OWID_WRL,1956-01-15,-82.38073,,-82.38073
World,OWID_WRL,1956-04-15,-82.38073,,-82.38073
World,OWID_WRL,1956-07-15,-86.58073,,-86.58073
World,OWID_WRL,1956-10-15,-90.01406,,-90.01406
World,OWID_WRL,1957-01-15,-83.01406,,-83.01406
World,OWID_WRL,1957-04-15,-70.11406,,-70.11406
World,OWID_WRL,1957-07-15,-69.54739,,-69.54739
World,OWID_WRL,1957-10-15,-72.8474,,-72.8474
World,OWID_WRL,1958-01-15,-72.2474,,-72.2474
World,OWID_WRL,1958-04-15,-73.314064,,-73.314064
World,OWID_WRL,1958-07-15,-72.91406,,-72.91406
World,OWID_WRL,1958-10-15,-68.814064,,-68.814064
World,OWID_WRL,1959-01-15,-68.714066,,-68.714066
World,OWID_WRL,1959-04-15,-73.11406,,-73.11406
World,OWID_WRL,1959-07-15,-70.214066,,-70.214066
World,OWID_WRL,1959-10-15,-69.91406,,-69.91406
World,OWID_WRL,1960-01-15,-70.38073,,-70.38073
World,OWID_WRL,1960-04-15,-66.48073,,-66.48073
World,OWID_WRL,1960-07-15,-66.88073,,-66.88073
World,OWID_WRL,1960-10-15,-67.58073,,-67.58073
World,OWID_WRL,1961-01-15,-60.247395,,-60.247395
World,OWID_WRL,1961-04-15,-56.247395,,-56.247395
World,OWID_WRL,1961-07-15,-60.747395,,-60.747395
World,OWID_WRL,1961-10-15,-65.64739,,-65.64739
World,OWID_WRL,1962-01-15,-66.68073,,-66.68073
World,OWID_WRL,1962-04-15,-67.61406,,-67.61406
World,OWID_WRL,1962-07-15,-68.04739,,-68.04739
World,OWID_WRL,1962-10-15,-63.414062,,-63.414062
World,OWID_WRL,1963-01-15,-63.88073,,-63.88073
World,OWID_WRL,1963-04-15,-65.51406,,-65.51406
World,OWID_WRL,1963-07-15,-69.91406,,-69.91406
World,OWID_WRL,1963-10-15,-69.01406,,-69.01406
World,OWID_WRL,1964-01-15,-77.947395,,-77.947395
World,OWID_WRL,1964-04-15,-81.947395,,-81.947395
World,OWID_WRL,1964-07-15,-70.98073,,-70.98073
World,OWID_WRL,1964-10-15,-73.11406,,-73.11406
World,OWID_WRL,1965-01-15,-66.18073,,-66.18073
World,OWID_WRL,1965-04-15,-67.04739,,-67.04739
World,OWID_WRL,1965-07-15,-66.314064,,-66.314064
World,OWID_WRL,1965-10-15,-60.747395,,-60.747395
World,OWID_WRL,1966-01-15,-64.28073,,-64.28073
World,OWID_WRL,1966-04-15,-70.08073,,-70.08073
World,OWID_WRL,1966-07-15,-70.48073,,-70.48073
World,OWID_WRL,1966-10-15,-71.68073,,-71.68073
World,OWID_WRL,1967-01-15,-72.91406,,-72.91406
World,OWID_WRL,1967-04-15,-73.8474,,-73.8474
World,OWID_WRL,1967-07-15,-66.447395,,-66.447395
World,OWID_WRL,1967-10-15,-63.947395,,-63.947395
World,OWID_WRL,1968-01-15,-63.48073,,-63.48073
World,OWID_WRL,1968-04-15,-75.48073,,-75.48073
World,OWID_WRL,1968-07-15,-72.814064,,-72.814064
World,OWID_WRL,1968-10-15,-60.01406,,-60.01406
World,OWID_WRL,1969-01-15,-59.71406,,-59.71406
World,OWID_WRL,1969-04-15,-60.314064,,-60.314064
World,OWID_WRL,1969-07-15,-62.614063,,-62.614063
World,OWID_WRL,1969-10-15,-60.347397,,-60.347397
World,OWID_WRL,1970-01-15,-61.51406,-60.965443,-61.239754
World,OWID_WRL,1970-04-15,-63.114063,-70.065575,-66.58982
World,OWID_WRL,1970-07-15,-64.7474,-70.86889,-67.80814
World,OWID_WRL,1970-10-15,-62.814064,-67.10528,-64.95967
World,OWID_WRL,1971-01-15,-57.48073,-61.24614,-59.363434
World,OWID_WRL,1971-04-15,-55.347397,-59.23478,-57.29109
World,OWID_WRL,1971-07-15,-60.48073,-62.55456,-61.517647
World,OWID_WRL,1971-10-15,-57.08073,-63.143173,-60.111954
World,OWID_WRL,1972-01-15,-56.51406,-58.4022,-57.45813
World,OWID_WRL,1972-04-15,-47.08073,-48.94231,-48.01152
World,OWID_WRL,1972-07-15,-43.71406,-43.773945,-43.744003
World,OWID_WRL,1972-10-15,-49.747395,-46.40693,-48.077164
World,OWID_WRL,1973-01-15,-54.68073,-51.333157,-53.006943
World,OWID_WRL,1973-04-15,-56.280727,-58.17343,-57.22708
World,OWID_WRL,1973-07-15,-56.747395,-62.648876,-59.698135
World,OWID_WRL,1973-10-15,-53.18073,-58.8008,-55.990765
World,OWID_WRL,1974-01-15,-40.18073,-48.89802,-44.539375
World,OWID_WRL,1974-04-15,-40.48073,-42.103897,-41.292313
World,OWID_WRL,1974-07-15,-43.18073,-41.65436,-42.417545
World,OWID_WRL,1974-10-15,-46.047398,-42.008423,-44.02791
World,OWID_WRL,1975-01-15,-43.947395,-38.535313,-41.241356
World,OWID_WRL,1975-04-15,-42.914062,-37.595917,-40.25499
World,OWID_WRL,1975-07-15,-45.847397,-43.241394,-44.544395
World,OWID_WRL,1975-10-15,-43.747395,-48.989594,-46.368492
World,OWID_WRL,1976-01-15,-46.68073,-48.211098,-47.445915
World,OWID_WRL,1976-04-15,-46.280727,-40.490795,-43.38576
World,OWID_WRL,1976-07-15,-44.747395,-35.552433,-40.149914
World,OWID_WRL,1976-10-15,-44.414062,-38.36746,-41.390762
World,OWID_WRL,1977-01-15,-44.247395,-45.422523,-44.83496
World,OWID_WRL,1977-04-15,-49.614063,-49.78769,-49.700874
World,OWID_WRL,1977-07-15,-48.51406,-48.42481,-48.469437
World,OWID_WRL,1977-10-15,-45.547398,-45.663033,-45.605217
World,OWID_WRL,1978-01-15,-38.247395,-44.28004,-41.263718
World,OWID_WRL,1978-04-15,-37.347397,-46.41108,-41.87924
World,OWID_WRL,1978-07-15,-41.814064,-48.969936,-45.392
World,OWID_WRL,1978-10-15,-42.21406,-52.650047,-47.432053
World,OWID_WRL,1979-01-15,-49.614063,-56.813953,-53.21401
World,OWID_WRL,1979-04-15,-49.38073,-54.330048,-51.85539
World,OWID_WRL,1979-07-15,-46.814064,-49.886684,-48.350372
World,OWID_WRL,1979-10-15,-39.38073,-45.608467,-42.4946
World,OWID_WRL,1980-01-15,-37.68073,-41.57064,-39.625687
World,OWID_WRL,1980-04-15,-38.914062,-41.308678,-40.11137
World,OWID_WRL,1980-07-15,-41.88073,-40.97322,-41.426975
World,OWID_WRL,1980-10-15,-40.98073,-35.6162,-38.298462
World,OWID_WRL,1981-01-15,-31.080729,-29.865328,-30.473028
World,OWID_WRL,1981-04-15,-26.814062,-30.44417,-28.629116
World,OWID_WRL,1981-07-15,-25.98073,-31.339901,-28.660316
World,OWID_WRL,1981-10-15,-25.914062,-29.950584,-27.932323
World,OWID_WRL,1982-01-15,-30.214062,-31.366888,-30.790474
World,OWID_WRL,1982-04-15,-35.314064,-32.785023,-34.049545
World,OWID_WRL,1982-07-15,-37.88073,-29.689114,-33.78492
World,OWID_WRL,1982-10-15,-28.614063,-25.37309,-26.993576
World,OWID_WRL,1983-01-15,-23.547396,-24.527468,-24.037432
World,OWID_WRL,1983-04-15,-18.614063,-27.786089,-23.200077
World,OWID_WRL,1983-07-15,-22.28073,-31.965904,-27.123318
World,OWID_WRL,1983-10-15,-30.647396,-33.49639,-32.07189
World,OWID_WRL,1984-01-15,-30.48073,-32.678143,-31.579437
World,OWID_WRL,1984-04-15,-25.047396,-30.10078,-27.57409
World,OWID_WRL,1984-07-15,-21.714062,-28.37149,-25.042776
World,OWID_WRL,1984-10-15,-24.814062,-30.765774,-27.789917
World,OWID_WRL,1985-01-15,-31.680729,-35.550476,-33.6156
World,OWID_WRL,1985-04-15,-35.21406,-35.802814,-35.50844
World,OWID_WRL,1985-07-15,-36.98073,-33.032818,-35.006775
World,OWID_WRL,1985-10-15,-36.58073,-33.82041,-35.20057
World,OWID_WRL,1986-01-15,-33.814064,-34.42946,-34.12176
World,OWID_WRL,1986-04-15,-33.780727,-31.909176,-32.84495
World,OWID_WRL,1986-07-15,-35.18073,-30.891478,-33.036102
World,OWID_WRL,1986-10-15,-36.814064,-30.12309,-33.46858
World,OWID_WRL,1987-01-15,-33.847397,-25.16374,-29.50557
World,OWID_WRL,1987-04-15,-34.280727,-23.529448,-28.905087
World,OWID_WRL,1987-07-15,-33.247395,-29.54971,-31.398552
World,OWID_WRL,1987-10-15,-37.614063,-31.017202,-34.31563
World,OWID_WRL,1988-01-15,-31.414062,-24.54147,-27.977766
World,OWID_WRL,1988-04-15,-31.647396,-23.124275,-27.385836
World,OWID_WRL,1988-07-15,-28.847395,-25.071793,-26.959595
World,OWID_WRL,1988-10-15,-26.514063,-26.861702,-26.687881
World,OWID_WRL,1989-01-15,-31.847395,-28.08075,-29.964073
World,OWID_WRL,1989-04-15,-24.614063,-23.92402,-24.269043
World,OWID_WRL,1989-07-15,-25.147396,-21.495914,-23.321655
World,OWID_WRL,1989-10-15,-22.247396,-21.381397,-21.814396
World,OWID_WRL,1990-01-15,-25.247396,-21.553032,-23.400215
World,OWID_WRL,1990-04-15,-28.314062,-19.817095,-24.065578
World,OWID_WRL,1990-07-15,-22.847395,-13.921522,-18.384459
World,OWID_WRL,1990-10-15,-19.48073,-13.250272,-16.365501
World,OWID_WRL,1991-01-15,-20.347395,-15.963681,-18.155539
World,OWID_WRL,1991-04-15,-21.814062,-13.357145,-17.585604
World,OWID_WRL,1991-07-15,-22.814062,-8.976906,-15.895484
World,OWID_WRL,1991-10-15,-18.947395,-6.430251,-12.688824
